payload_id,name,year,type,mass_kg,orbit,owner_country,design_lifetime_years,operational_status,is_crewed,dry_mass_kg,power_watts,commercial
PL0000039,HTV-59,1962,Communications,100.5,LEO,China,8.0,Decayed,0,57.5,905.0,1
PL0000040,Kepler-97,1959,Scientific,5812.8,ISS,Russia,4.0,Operational,0,4077.4,204.0,0
PL0000041,Envisat-72,2012,Scientific,400.9,GTO,Europe,3.0,Operational,0,266.7,238.0,0
PL0000042,Chandrayaan-53,1978,Earth Observation,2249.0,TLI,USA,30.0,Retired,0,1623.5,509.0,1
PL0000043,Eutelsat-97,1970,Scientific,353.1,Suborbital,USA,5.0,Retired,0,263.9,812.0,0
PL0000044,Juno-55,1981,Technology Demo,457.6,GTO,China,30.0,Retired,0,349.5,702.0,1
PL0000045,HTV-26,1960,Earth Observation,240.8,Suborbital,USA,6.0,Operational,0,137.2,4511.0,1
PL0000046,Iridium-25,2003,Earth Observation,1055.9,GEO,USA,5.0,Retired,0,753.3,843.0,1
PL0000047,Curiosity-28,1958,Military,499.2,Interplanetary,Japan,10.0,Operational,0,383.8,1753.0,0
PL0000048,Mars Odyssey-85,2019,Military,83.4,GTO,USA,9.0,Operational,0,46.1,113.0,0
PL0000049,ISS Module-9,1968,Communications,109.8,GTO,USA,13.0,Operational,0,67.5,236.0,1
PL0000050,Curiosity-62,1966,Military,449.5,GTO,USA,17.0,Operational,0,287.3,455.0,0
PL0000051,Teledesic-30,2002,Military,2000.6,GEO,China,5.0,Decayed,0,1338.0,1028.0,0
PL0000052,Sentinel-63,2017,Communications,1673.6,LEO,Europe,6.0,Retired,0,1264.3,1565.0,1
PL0000053,Chandrayaan-41,2015,Navigation,10858.5,MEO,Russia,9.0,Operational,0,7997.9,1345.0,0
PL0000054,Hubble-71,1971,Earth Observation,519.5,GEO,China,10.0,Operational,0,404.9,173.0,1
PL0000055,Intelsat-38,1980,Technology Demo,17.9,GEO,Other,8.0,Operational,0,14.2,55.0,1
PL0000056,Astra-40,1974,Navigation,794.3,Suborbital,Europe,6.0,Retired,0,578.7,2075.0,0
PL0000057,Molniya-6,1963,Cubesat,75.0,GEO,USA,12.0,Retired,0,54.5,527.0,1
PL0000058,Eutelsat-38,1959,Navigation,1013.1,GEO,USA,24.0,Decayed,0,688.0,268.0,0
PL0000059,Landsat-36,2018,Navigation,1749.7,GEO,Russia,12.0,Retired,0,1024.5,560.0,0
PL0000060,Mir Module-35,2021,Navigation,490.6,HEO,China,3.0,Operational,0,383.0,2348.0,0
PL0000061,Kepler-43,2021,Technology Demo,27.8,Interplanetary,India,2.0,Retired,0,16.0,4204.0,1
PL0000062,Skylab-11,2022,Communications,505.4,MEO,Other,1.0,Operational,0,396.0,634.0,1
PL0000063,Globalstar-89,1980,Cubesat,652.0,MEO,Europe,7.0,Failed,0,441.5,783.0,1
PL0000064,NAVSTAR-39,1959,Military,152.3,MEO,USA,4.0,Retired,0,86.7,2366.0,0
PL0000065,NAVSTAR-67,1957,Military,147.0,MEO,China,15.0,Operational,0,98.2,481.0,0
PL0000066,WorldView-29,1998,Scientific,47.8,Interplanetary,USA,13.0,Decayed,0,30.4,579.0,0
PL0000067,Mars Odyssey-92,1976,Cargo Resupply,484.2,HEO,Russia,,Decayed,0,377.0,2792.0,0
PL0000068,Pioneer-16,2023,Military,313.0,HEO,Russia,3.0,Unknown,0,195.5,631.0,0
PL0000069,Hubble-33,1963,Debris,156.0,GTO,Other,2.0,Failed,0,121.0,1036.0,0
PL0000070,OneWeb-40,1982,Scientific,6660.3,Interplanetary,India,6.0,Operational,0,5159.5,181.0,0
PL0000071,Pleiades-84,2022,Navigation,70.9,SSO,USA,9.0,Retired,0,40.6,697.0,0
PL0000072,Cygnus-84,1972,Human Transport,284.7,HEO,Russia,,Decayed,1,197.7,887.0,0
PL0000073,Express-30,1976,Communications,177.4,GEO,Europe,7.0,Operational,0,108.3,214.0,1
PL0000074,Pleiades-59,1969,Communications,375.9,HEO,Russia,11.0,Failed,0,256.7,408.0,1
PL0000075,Kepler-96,2023,Debris,347.4,Interplanetary,China,7.0,Retired,0,240.7,394.0,0
PL0000076,SPOT-56,1976,Navigation,404.6,GTO,USA,6.0,Retired,0,262.8,320.0,0
PL0000077,New Horizons-50,1969,Scientific,239.5,ISS,USA,26.0,Failed,0,160.2,379.0,0
PL0000078,Cosmos-63,1959,Communications,95.8,LEO,Russia,7.0,Operational,0,56.2,186.0,1
PL0000079,Curiosity-90,1990,Scientific,90.8,LEO,USA,11.0,Retired,0,67.6,1000.0,0
PL0000080,Kepler-10,1989,Technology Demo,480.3,LEO,China,6.0,Unknown,0,331.6,1217.0,1
PL0000081,Hubble-22,2000,Human Transport,101.5,MEO,Russia,,Unknown,1,69.8,962.0,0
PL0000082,Pioneer-34,2021,Technology Demo,263.1,ISS,Russia,14.0,Retired,0,181.2,256.0,1
PL0000083,Landsat-58,1976,Communications,532.8,HEO,Japan,5.0,Operational,0,418.9,4877.0,1
PL0000084,Intelsat-53,1980,Communications,9099.6,Interplanetary,China,11.0,Decayed,0,6877.0,949.0,1
PL0000085,Kepler-42,1976,Scientific,146.7,SSO,Russia,5.0,Retired,0,110.0,735.0,0
PL0000086,Chandrayaan-88,1984,Navigation,531.6,ISS,USA,3.0,Retired,0,353.8,1319.0,0
PL0000087,GOES-98,1966,Scientific,184.3,Suborbital,USA,13.0,Retired,0,133.2,912.0,0
PL0000088,Tiangong-16,1981,Communications,242.0,GTO,USA,8.0,Decayed,0,139.5,322.0,1
PL0000089,GOES-97,1994,Navigation,361.8,HEO,Russia,30.0,Unknown,0,255.3,161.0,0
PL0000090,Progress-14,2021,Earth Observation,1184.6,ISS,China,3.0,Operational,0,882.5,10635.0,1
PL0000091,Mars Odyssey-83,1984,Navigation,115.9,GEO,Russia,30.0,Decayed,0,81.3,605.0,0
PL0000092,Curiosity-45,1993,Earth Observation,10.3,MEO,China,1.0,Operational,0,5.9,3322.0,1
PL0000093,Perseverance-50,2003,Communications,2072.1,HEO,USA,3.0,Operational,0,1460.0,2555.0,1
PL0000094,Soyuz-44,1983,Cargo Resupply,655.5,Suborbital,China,,Operational,0,373.7,504.0,0
PL0000095,SES-42,2020,Technology Demo,1228.9,Suborbital,China,3.0,Retired,0,854.4,234.0,1
PL0000096,SPOT-80,1986,Communications,70.8,GTO,India,12.0,Operational,0,48.2,391.0,1
PL0000097,Meteosat-43,1984,Communications,118.4,TLI,China,7.0,Operational,0,74.0,632.0,1
PL0000098,Chandra-21,1980,Scientific,56.9,LEO,China,30.0,Decayed,0,40.2,869.0,0
PL0000099,HTV-72,1994,Military,3077.5,TLI,Europe,4.0,Operational,0,1895.5,37.0,0
PL0000100,Starlink-87,1964,Human Transport,2.2,Suborbital,China,,Failed,1,1.5,759.0,0
PL0000101,Meteosat-60,2011,Navigation,76.0,GEO,China,7.0,Operational,0,49.1,1218.0,0
PL0000102,Voyager-62,1969,Military,367.5,Interplanetary,Other,3.0,Failed,0,267.6,2867.0,0
PL0000103,New Horizons-21,1968,Military,5371.0,TLI,Russia,19.0,Operational,0,3205.8,295.0,0
PL0000104,Cassini-91,2022,Scientific,208.2,HEO,USA,18.0,Operational,0,116.4,360.0,0
PL0000105,Iridium-6,1981,Earth Observation,941.6,ISS,Russia,2.0,Operational,0,661.6,1541.0,1
PL0000106,NAVSTAR-53,2015,Scientific,73.4,MEO,USA,12.0,Retired,0,52.9,1519.0,0
PL0000107,Sentinel-51,1983,Space Station,689.3,GEO,USA,5.0,Retired,0,469.2,654.0,0
PL0000108,Astra-87,2013,Communications,258.9,LEO,USA,18.0,Retired,0,155.2,284.0,1
PL0000109,Curiosity-29,2022,Military,10420.2,GTO,Europe,26.0,Retired,0,8084.2,220.0,0
PL0000110,Cosmos-28,1979,Scientific,302.7,Suborbital,Europe,14.0,Unknown,0,203.0,560.0,0
PL0000111,New Horizons-1,2004,Communications,112.6,SSO,Russia,5.0,Failed,0,69.0,1450.0,1
PL0000112,Molniya-78,2019,Military,1648.9,SSO,Europe,5.0,Failed,0,970.2,424.0,0
PL0000113,Astra-17,2023,Communications,2139.6,GEO,Europe,8.0,Retired,0,1420.9,403.0,1
PL0000114,Mars Odyssey-73,1973,Communications,128.3,GEO,China,3.0,Decayed,0,95.5,813.0,1
PL0000115,Landsat-90,1976,Navigation,289.3,Suborbital,USA,6.0,Operational,0,172.9,1706.0,0
PL0000116,Landsat-77,2003,Communications,879.2,HEO,Russia,4.0,Retired,0,495.9,2106.0,1
PL0000117,Pioneer-54,2009,Communications,97.0,GTO,Japan,2.0,Operational,0,55.2,231.0,1
PL0000118,Eutelsat-91,1961,Communications,161.5,Suborbital,USA,8.0,Unknown,0,119.8,165.0,1
PL0000119,Chandra-29,1970,Earth Observation,460.2,MEO,Europe,12.0,Decayed,0,295.2,1259.0,1
PL0000120,Soyuz-73,1999,Communications,194.9,ISS,Europe,5.0,Operational,0,123.3,760.0,1
PL0000121,ATV-13,1963,Communications,266.6,SSO,USA,2.0,Retired,0,159.5,613.0,1
PL0000122,GOES-64,2013,Earth Observation,86.7,LEO,Japan,11.0,Operational,0,66.7,1003.0,1
PL0000123,GPS-1,1958,Earth Observation,65.9,SSO,Europe,14.0,Failed,0,41.4,306.0,1
PL0000124,Teledesic-6,2014,Military,93.7,ISS,China,30.0,Operational,0,63.1,340.0,0
PL0000125,Dragon-20,2000,Military,35.3,GTO,Other,5.0,Decayed,0,27.6,612.0,0
PL0000126,Chandra-98,2007,Communications,335.7,HEO,USA,7.0,Operational,0,225.6,223.0,1
PL0000127,Globalstar-76,1990,Navigation,1406.4,ISS,USA,10.0,Decayed,0,1031.6,2629.0,0
PL0000128,Eutelsat-73,2011,Earth Observation,629.2,Interplanetary,Russia,8.0,Failed,0,393.0,774.0,1
PL0000129,Kepler-53,1975,Space Station,3920.6,GEO,China,3.0,Retired,0,2435.3,1019.0,0
PL0000130,NAVSTAR-98,1971,Earth Observation,84.4,GEO,China,2.0,Operational,0,57.9,469.0,1
PL0000131,Cassini-25,1966,Scientific,4311.9,GTO,USA,6.0,Retired,0,2707.6,581.0,0
PL0000132,Webb-76,1978,Scientific,63.3,Interplanetary,Europe,10.0,Operational,0,40.9,1082.0,0
PL0000133,NOAA-62,2008,Communications,467.5,GTO,Russia,8.0,Failed,0,333.2,36.0,1
PL0000134,ATV-48,2010,Earth Observation,64.8,Interplanetary,USA,4.0,Failed,0,36.9,955.0,1
PL0000135,TESS-59,1994,Cargo Resupply,92.9,Interplanetary,USA,,Retired,0,57.4,734.0,0
PL0000136,Cosmos-32,1984,Military,880.3,ISS,Japan,15.0,Failed,0,601.8,1215.0,0
PL0000137,NOAA-63,2001,Earth Observation,441.5,HEO,China,15.0,Operational,0,257.6,240.0,1
PL0000138,WorldView-64,2013,Communications,37.4,Interplanetary,China,2.0,Decayed,0,26.8,2424.0,1
PL0000139,SPOT-35,1993,Earth Observation,63.2,TLI,China,6.0,Operational,0,47.4,1814.0,1
PL0000140,New Horizons-69,1994,Technology Demo,215.9,SSO,Russia,21.0,Retired,0,170.9,265.0,1
PL0000141,NOAA-70,1988,Cubesat,392.7,LEO,USA,3.0,Operational,0,258.9,308.0,1
PL0000142,Soyuz-76,2014,Communications,48.1,LEO,Russia,2.0,Operational,0,34.2,79.0,1
PL0000143,SPOT-54,1965,Cubesat,406.3,GTO,USA,11.0,Operational,0,310.8,67.0,1
PL0000144,GOES-73,1992,Cubesat,544.0,HEO,USA,9.0,Retired,0,341.9,278.0,1
PL0000145,GPS-48,2015,Communications,2310.9,GEO,USA,3.0,Retired,0,1525.0,1188.0,1
PL0000146,NAVSTAR-24,2002,Communications,790.0,LEO,USA,4.0,Retired,0,569.7,702.0,1
PL0000147,Cosmos-45,1964,Military,128.6,LEO,USA,3.0,Retired,0,85.0,1408.0,0
PL0000148,Eutelsat-71,2008,Earth Observation,86.9,MEO,Other,3.0,Decayed,0,59.3,347.0,1
PL0000149,Intelsat-3,1994,Cargo Resupply,1640.8,TLI,Russia,,Retired,0,958.5,402.0,0
PL0000150,Sentinel-72,2002,Military,203.5,MEO,China,5.0,Decayed,0,119.0,303.0,0
PL0000151,Iridium-17,2013,Military,123.2,MEO,USA,4.0,Unknown,0,90.1,217.0,0
PL0000152,Spitzer-48,1972,Military,1272.4,GTO,China,12.0,Operational,0,827.1,222.0,0
PL0000153,Astra-3,2009,Communications,157.5,LEO,USA,12.0,Retired,0,104.5,777.0,1
PL0000154,Molniya-40,2009,Communications,69.0,GEO,USA,6.0,Retired,0,40.2,511.0,1
PL0000155,Himawari-71,2010,Earth Observation,247.5,LEO,Russia,14.0,Retired,0,194.9,257.0,1
PL0000156,Intelsat-6,2011,Communications,1268.9,Suborbital,USA,19.0,Operational,0,944.5,6632.0,1
PL0000157,Curiosity-50,2019,Communications,405.2,ISS,USA,9.0,Operational,0,264.5,535.0,1
PL0000158,NOAA-10,1957,Scientific,6247.1,MEO,Russia,30.0,Retired,0,4652.9,256.0,0
PL0000159,Eutelsat-90,1964,Navigation,413.1,LEO,USA,7.0,Unknown,0,265.5,677.0,0
PL0000160,Mars Odyssey-69,1999,Human Transport,1310.6,LEO,Russia,,Operational,1,754.8,1237.0,0
PL0000161,Kepler-57,1958,Military,103.0,MEO,USA,17.0,Operational,0,80.1,2357.0,0
PL0000162,HTV-66,2004,Communications,724.6,TLI,China,7.0,Failed,0,456.2,1929.0,1
PL0000163,Dragon-59,1983,Navigation,806.9,GEO,USA,10.0,Operational,0,603.8,929.0,0
PL0000164,SPOT-41,2023,Military,628.5,LEO,Europe,10.0,Decayed,0,360.2,207.0,0
PL0000165,SES-98,1960,Earth Observation,397.2,MEO,Russia,5.0,Failed,0,272.8,1002.0,1
PL0000166,Chandrayaan-67,2020,Communications,880.3,MEO,India,12.0,Operational,0,502.4,150.0,1
PL0000167,OneWeb-89,1979,Communications,58.3,GEO,China,12.0,Operational,0,43.1,1179.0,1
PL0000168,Molniya-77,2019,Cubesat,2107.3,ISS,China,28.0,Retired,0,1334.9,378.0,1
PL0000169,Pioneer-14,1979,Navigation,104.7,MEO,Other,5.0,Operational,0,72.5,268.0,0
PL0000170,Starlink-14,1972,Communications,180.7,MEO,USA,4.0,Decayed,0,135.7,2186.0,1
PL0000171,Webb-56,1976,Scientific,339.3,HEO,USA,12.0,Operational,0,244.6,514.0,0
PL0000172,Cygnus-18,1991,Military,1603.4,GEO,China,8.0,Failed,0,1195.0,2400.0,0
PL0000173,Hubble-15,2011,Scientific,74.9,LEO,China,16.0,Decayed,0,54.3,587.0,0
PL0000174,Dragon-70,2000,Weather,51.8,LEO,USA,2.0,Decayed,0,31.7,353.0,0
PL0000175,Sentinel-57,1993,Earth Observation,82.1,MEO,China,6.0,Failed,0,63.6,78.0,1
PL0000176,Mir Module-12,2006,Communications,102.7,Suborbital,USA,9.0,Operational,0,67.5,257.0,1
PL0000177,Hubble-59,2006,Communications,1254.7,Interplanetary,USA,25.0,Retired,0,690.8,1187.0,1
PL0000178,Chandra-30,1994,Communications,118.5,HEO,China,16.0,Retired,0,78.2,1310.0,1
PL0000179,Cosmos-71,2017,Earth Observation,34.2,HEO,China,30.0,Failed,0,19.9,2511.0,1
PL0000180,Chandra-65,2000,Navigation,133.1,LEO,Russia,3.0,Retired,0,84.7,688.0,0
PL0000181,Chandra-42,2012,Military,156.2,LEO,China,11.0,Failed,0,96.9,1225.0,0
PL0000182,Cassini-71,1990,Scientific,99.0,TLI,China,7.0,Failed,0,75.5,2369.0,0
PL0000183,WorldView-77,1960,Navigation,1029.8,SSO,Russia,12.0,Failed,0,631.0,865.0,0
PL0000184,FengYun-95,1965,Technology Demo,279.8,SSO,Russia,11.0,Retired,0,169.8,359.0,1
PL0000185,Meteosat-38,2013,Military,235.0,LEO,Europe,2.0,Failed,0,145.9,662.0,0
PL0000186,TESS-51,1994,Military,707.1,ISS,China,10.0,Operational,0,422.9,198.0,0
PL0000187,Pioneer-94,1967,Communications,481.3,Interplanetary,China,4.0,Failed,0,367.4,558.0,1
PL0000188,Starlink-93,1999,Communications,106.8,SSO,Europe,4.0,Retired,0,62.9,1631.0,1
PL0000189,Yamal-66,2016,Communications,557.9,SSO,Europe,26.0,Operational,0,336.2,2366.0,1
PL0000190,Mars Odyssey-91,2024,Earth Observation,155.5,GEO,USA,7.0,Decayed,0,117.2,1556.0,1
PL0000191,NAVSTAR-26,1976,Earth Observation,853.9,MEO,USA,10.0,Retired,0,599.4,245.0,1
PL0000192,Iridium-30,1989,Communications,69.2,GTO,USA,3.0,Operational,0,38.2,1216.0,1
PL0000193,O3b-92,1996,Navigation,61.0,ISS,Europe,17.0,Operational,0,36.3,278.0,0
PL0000194,Progress-52,1990,Communications,57.5,Interplanetary,USA,5.0,Operational,0,31.8,582.0,1
PL0000195,Curiosity-16,1958,Communications,111.9,ISS,Japan,5.0,Retired,0,70.8,732.0,1
PL0000196,Mars Odyssey-3,1993,Human Transport,1228.1,TLI,USA,,Operational,1,774.7,918.0,0
PL0000197,HTV-68,1988,Scientific,13.4,HEO,Russia,7.0,Retired,0,10.6,369.0,0
PL0000198,GOES-7,1971,Communications,863.7,SSO,Europe,13.0,Decayed,0,673.7,308.0,1
PL0000199,Teledesic-67,1973,Navigation,5253.7,Suborbital,USA,5.0,Operational,0,3791.2,966.0,0
PL0000200,ISS Module-65,1970,Earth Observation,1766.1,GTO,Russia,6.0,Retired,0,1014.1,1533.0,1
PL0000201,TESS-33,2010,Navigation,572.3,ISS,USA,6.0,Operational,0,383.2,4408.0,0
PL0000202,Pleiades-44,1963,Military,817.6,LEO,Europe,10.0,Retired,0,556.6,1061.0,0
PL0000203,Pioneer-91,2001,Technology Demo,46.6,MEO,Other,21.0,Operational,0,26.6,565.0,1
PL0000204,Himawari-66,1958,Navigation,1788.7,TLI,India,10.0,Operational,0,1136.4,3083.0,0
PL0000205,Pioneer-94,1965,Communications,1309.9,MEO,USA,4.0,Operational,0,988.2,329.0,1
PL0000206,Mars Odyssey-94,2000,Space Station,199.1,HEO,Europe,4.0,Unknown,0,122.3,368.0,0
PL0000207,SPOT-15,1999,Military,426.1,ISS,China,4.0,Operational,0,298.1,3999.0,0
PL0000208,Juno-11,1965,Navigation,343.7,GTO,China,7.0,Failed,0,251.6,345.0,0
PL0000209,O3b-36,1966,Military,440.2,LEO,USA,5.0,Operational,0,304.6,1498.0,0
PL0000210,Juno-11,2016,Technology Demo,1278.6,Interplanetary,Russia,4.0,Unknown,0,930.9,1100.0,1
PL0000211,OneWeb-21,2014,Navigation,401.8,TLI,China,7.0,Operational,0,259.4,95.0,0
PL0000212,SES-18,1971,Scientific,297.7,Suborbital,China,17.0,Failed,0,238.1,173.0,0
PL0000213,OneWeb-82,2005,Communications,2487.4,Suborbital,Europe,8.0,Retired,0,1380.6,276.0,1
PL0000214,Cassini-31,1994,Earth Observation,36.2,LEO,China,8.0,Retired,0,28.9,450.0,1
PL0000215,Intelsat-41,1962,Communications,446.6,Interplanetary,Russia,7.0,Unknown,0,310.7,849.0,1
PL0000216,NAVSTAR-64,1981,Earth Observation,103.5,Suborbital,Other,8.0,Operational,0,74.7,2877.0,1
PL0000217,Molniya-25,2020,Communications,133.9,GTO,USA,2.0,Retired,0,78.6,561.0,1
PL0000218,Chandrayaan-48,2012,Earth Observation,326.8,GEO,Russia,14.0,Operational,0,249.2,298.0,1
PL0000219,Landsat-83,1976,Military,412.0,Interplanetary,USA,4.0,Operational,0,238.8,7904.0,0
PL0000220,Globalstar-90,1993,Navigation,105.7,Interplanetary,China,14.0,Operational,0,66.3,302.0,0
PL0000221,Teledesic-57,2004,Communications,297.3,SSO,Japan,13.0,Failed,0,174.9,134.0,1
PL0000222,Skylab-84,2005,Technology Demo,116.4,GEO,USA,30.0,Unknown,0,65.9,1244.0,1
PL0000223,New Horizons-74,2024,Earth Observation,481.2,SSO,Other,5.0,Retired,0,268.6,450.0,1
PL0000224,Mars Odyssey-42,1982,Communications,204.3,TLI,Other,30.0,Retired,0,116.8,389.0,1
PL0000225,Sentinel-9,1968,Earth Observation,39.4,Suborbital,Russia,10.0,Operational,0,30.0,3375.0,1
PL0000226,O3b-46,2007,Communications,7.4,MEO,China,4.0,Operational,0,5.4,898.0,1
PL0000227,Chandra-86,1973,Technology Demo,6.3,GEO,Europe,2.0,Operational,0,4.1,294.0,1
PL0000228,Express-92,1975,Earth Observation,142.7,SSO,Russia,17.0,Operational,0,85.8,1692.0,1
PL0000229,Chandra-47,2023,Human Transport,77.5,HEO,China,,Operational,1,45.9,326.0,0
PL0000230,Juno-40,1980,Military,44.0,Suborbital,China,2.0,Operational,0,31.4,944.0,0
PL0000231,Mars Odyssey-39,1983,Earth Observation,2190.8,Suborbital,China,13.0,Retired,0,1220.2,946.0,1
PL0000232,Intelsat-3,1989,Earth Observation,52.8,SSO,China,2.0,Operational,0,33.1,139.0,1
PL0000233,GPS-61,1979,Navigation,218.4,LEO,USA,13.0,Failed,0,170.0,229.0,0
PL0000234,Curiosity-26,1959,Communications,25.9,LEO,Russia,3.0,Operational,0,15.4,1639.0,1
PL0000235,Express-17,2000,Communications,83.2,LEO,Russia,3.0,Retired,0,64.6,927.0,1
PL0000236,WorldView-16,2010,Scientific,41.6,TLI,India,15.0,Operational,0,32.8,351.0,0
PL0000237,Eutelsat-78,2003,Military,41.4,GEO,Japan,12.0,Unknown,0,27.9,597.0,0
PL0000238,Kepler-3,1975,Communications,92.8,HEO,Japan,30.0,Operational,0,59.6,450.0,1
PL0000239,Mars Odyssey-97,2013,Earth Observation,52.9,HEO,USA,17.0,Operational,0,37.3,534.0,1
PL0000240,Yamal-91,1997,Weather,73.3,Interplanetary,China,7.0,Operational,0,52.8,3397.0,0
PL0000241,Globalstar-60,1978,Communications,161.3,Interplanetary,China,6.0,Operational,0,114.8,1189.0,1
PL0000242,Intelsat-30,2017,Military,11.1,Suborbital,Europe,6.0,Operational,0,7.3,346.0,0
PL0000243,GOES-65,2024,Scientific,60.0,TLI,Russia,14.0,Retired,0,37.4,25009.0,0
PL0000244,Cosmos-15,2004,Earth Observation,696.9,ISS,Russia,9.0,Retired,0,452.0,119.0,1
PL0000245,Mir Module-89,1980,Military,61.6,ISS,USA,7.0,Unknown,0,46.2,205.0,0
PL0000246,Kepler-68,1990,Communications,168.0,Interplanetary,Other,13.0,Retired,0,99.9,147.0,1
PL0000247,Mir Module-16,1971,Cargo Resupply,55.6,HEO,Europe,,Decayed,0,38.8,828.0,0
PL0000248,SPOT-6,1983,Earth Observation,220.0,TLI,Europe,2.0,Operational,0,121.4,2391.0,1
PL0000249,Chandrayaan-66,1960,Navigation,5819.7,TLI,Other,6.0,Retired,0,4291.1,297.0,0
PL0000250,Progress-10,1966,Navigation,316.9,MEO,Europe,6.0,Retired,0,182.5,1639.0,0
PL0000251,NAVSTAR-95,1968,Military,47.4,Interplanetary,Russia,8.0,Operational,0,32.5,444.0,0
PL0000252,TESS-36,2022,Military,179.6,MEO,China,8.0,Retired,0,128.3,1446.0,0
PL0000253,Dragon-12,1974,Earth Observation,30.9,LEO,Russia,17.0,Operational,0,22.1,4350.0,1
PL0000254,Yamal-89,2003,Earth Observation,99.0,GEO,Europe,7.0,Retired,0,55.0,304.0,1
PL0000255,Pleiades-11,1984,Military,291.8,TLI,Russia,13.0,Retired,0,207.1,1087.0,0
PL0000256,Teledesic-63,1970,Scientific,290.3,LEO,China,19.0,Retired,0,191.1,913.0,0
PL0000257,GOES-22,2009,Scientific,33.9,SSO,USA,3.0,Decayed,0,18.8,184.0,0
