launch_id,launch_date,year,month,era,country,operator,rocket,launch_site,orbit,status,payload_mass_kg,crewed,booster_reused
SL003877,1960-03-22,1960,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,68,0,0
SL005451,1960-04-02,1960,4,Cold War Era,USA,Army,Jupiter-C,Mahia Peninsula LC-1,ISS,Failure,2,1,0
SL007466,1960-04-13,1960,4,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,SSO,Success,124,0,0
SL001101,1960-04-13,1960,4,Cold War Era,USA,NRL,Vanguard,Wallops Flight Facility,GTO,Failure,4,0,0
SL004773,1960-05-07,1960,5,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Failure,1375,0,0
SL007203,1960-05-16,1960,5,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,89,1,0
SL006623,1960-05-18,1960,5,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,GEO,Failure,977,0,0
SL006403,1960-05-20,1960,5,Cold War Era,USA,LTV,Scout,Wallops Flight Facility,ISS,Success,59,1,0
SL002585,1960-05-25,1960,5,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,SSO,Failure,1054,0,0
SL005031,1960-06-11,1960,6,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,1872,0,0
SL007176,1960-06-14,1960,6,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Failure,118,1,0
SL000811,1960-06-17,1960,6,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,GEO,Success,1010,0,0
SL002922,1960-06-18,1960,6,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,GTO,Failure,609,0,0
SL005424,1960-07-08,1960,7,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Failure,105,0,0
SL003492,1960-07-09,1960,7,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,ISS,Success,482,1,0
SL000423,1960-08-08,1960,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Failure,789,1,0
SL004775,1960-08-11,1960,8,Cold War Era,USA,LTV,Scout,Wallops Flight Facility,ISS,Success,61,1,0
SL006744,1960-08-15,1960,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Success,418,0,0
SL004553,1960-08-27,1960,8,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,GEO,Failure,79,0,0
SL001617,1960-09-03,1960,9,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-40,SSO,Failure,6,0,0
SL003606,1960-09-04,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,ISS,Success,165,1,0
SL000998,1960-09-06,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Success,108,0,0
SL006159,1960-09-09,1960,9,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,SSO,Failure,488,0,0
SL002299,1960-09-25,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Failure,75,1,0
SL003439,1960-09-26,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,249,0,0
SL000741,1960-09-26,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Failure,56,0,0
SL004156,1960-09-28,1960,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,HEO,Failure,54,0,0
SL006989,1960-10-02,1960,10,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,ISS,Success,70,1,0
SL004315,1960-10-02,1960,10,Cold War Era,USA,LTV,Scout,Wallops Flight Facility,SSO,Success,33,0,0
SL001323,1960-10-07,1960,10,Cold War Era,USA,Army,Jupiter-C,Kennedy Space Center LC-39A,LEO,Failure,1,0,0
SL005594,1960-10-08,1960,10,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-40,SSO,Failure,44,0,0
SL004966,1960-10-17,1960,10,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-40,ISS,Failure,1,1,0
SL005156,1960-10-23,1960,10,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-40,LEO,Success,65,0,0
SL006128,1960-10-25,1960,10,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,SSO,Failure,498,0,0
SL001314,1960-10-26,1960,10,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,SSO,Success,2286,0,0
SL005922,1960-10-28,1960,10,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-41,SSO,Failure,35,0,0
SL002731,1960-11-03,1960,11,Cold War Era,USA,NRL,Vanguard,Cape Canaveral SLC-41,ISS,Failure,1,1,0
SL007013,1960-11-10,1960,11,Cold War Era,USA,LTV,Scout,SpaceX Starbase (Boca Chica),LEO,Success,19,1,0
SL000775,1960-11-20,1960,11,Cold War Era,USA,NASA,Thor-Delta,Vandenberg SFB SLC-4E,LEO,Failure,35,0,0
SL002384,1960-11-25,1960,11,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-41,LEO,Success,2,0,0
SL004281,1960-12-03,1960,12,Cold War Era,USA,NASA,Thor-Delta,Kennedy Space Center LC-39A,LEO,Failure,57,0,0
SL003179,1960-12-05,1960,12,Cold War Era,USA,LTV,Scout,Kennedy Space Center LC-39A,ISS,Success,38,1,0
SL003463,1960-12-12,1960,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Failure,85,0,0
SL006042,1960-12-17,1960,12,Cold War Era,USA,NASA,Thor-Delta,Cape Canaveral SLC-41,GEO,Failure,42,0,0
SL004419,1960-12-19,1960,12,Cold War Era,USA,NRL,Vanguard,Wallops Flight Facility,ISS,Failure,1,1,0
SL006587,1960-12-26,1960,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Failure,246,0,0
SL005686,1961-01-07,1961,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Failure,153,0,0
SL006496,1961-01-10,1961,1,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,SSO,Failure,309,0,0
SL006610,1961-01-11,1961,1,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,ISS,Success,692,1,0
SL000239,1961-01-21,1961,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Failure,59,1,0
SL002539,1961-02-12,1961,2,Cold War Era,USA,Army,Juno I,Kennedy Space Center LC-39A,LEO,Failure,2,1,0
SL007100,1961-02-16,1961,2,Cold War Era,USA,NRL,Vanguard,Kennedy Space Center LC-39A,LEO,Success,2,1,0
SL003377,1961-03-02,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,LEO,Success,1473,0,0
SL003218,1961-03-05,1961,3,Cold War Era,USA,Army,Juno I,Wallops Flight Facility,ISS,Failure,2,1,0
SL005961,1961-03-05,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,879,0,0
SL006898,1961-03-11,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Failure,798,0,0
SL007406,1961-03-15,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,613,1,0
SL002394,1961-03-24,1961,3,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-41,GEO,Success,14,0,0
SL000205,1961-03-24,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,883,0,0
SL003996,1961-03-26,1961,3,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Success,943,1,0
SL006737,1961-04-06,1961,4,Cold War Era,USA,Army,Juno I,Vandenberg SFB SLC-4E,LEO,Failure,5,0,0
SL003071,1961-04-08,1961,4,Cold War Era,USA,NASA,Thor-Delta,Wallops Flight Facility,LEO,Success,35,0,0
SL006625,1961-04-09,1961,4,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,ISS,Success,1144,1,0
SL005662,1961-04-13,1961,4,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,143,0,0
SL001568,1961-04-14,1961,4,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,ISS,Failure,1549,1,0
SL000812,1961-04-24,1961,4,Cold War Era,USA,NASA,Thor-Delta,Cape Canaveral SLC-41,SSO,Success,65,0,0
SL000535,1961-05-10,1961,5,Cold War Era,USA,NRL,Vanguard,Vandenberg SFB SLC-4E,ISS,Failure,3,1,0
SL001952,1961-05-11,1961,5,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Failure,56,0,0
SL002958,1961-05-22,1961,5,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,SSO,Success,1326,0,0
SL006073,1961-05-24,1961,5,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,ISS,Success,153,1,0
SL003321,1961-05-26,1961,5,Cold War Era,USA,Army,Juno I,SpaceX Starbase (Boca Chica),GTO,Success,6,0,0
SL004222,1961-06-06,1961,6,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,HEO,Success,61,0,0
SL002023,1961-06-08,1961,6,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Success,2360,0,0
SL006013,1961-06-14,1961,6,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,LEO,Failure,884,0,0
SL003532,1961-06-18,1961,6,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Failure,1667,0,0
SL002719,1961-06-26,1961,6,Cold War Era,USA,LTV,Scout,Vandenberg SFB SLC-4E,LEO,Success,42,1,0
SL002115,1961-07-05,1961,7,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Success,107,1,0
SL005305,1961-07-16,1961,7,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,57,1,0
SL002940,1961-07-16,1961,7,Cold War Era,USA,Army,Jupiter-C,Cape Canaveral SLC-40,LEO,Success,3,0,0
SL006601,1961-07-24,1961,7,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,HEO,Success,122,0,0
SL004838,1961-07-25,1961,7,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,HEO,Success,668,0,0
SL007392,1961-07-25,1961,7,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-40,SSO,Failure,2,0,0
SL005625,1961-08-03,1961,8,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Failure,107,0,0
SL002052,1961-08-11,1961,8,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Failure,106,1,0
SL000683,1961-08-22,1961,8,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Success,160,1,0
SL007062,1961-08-27,1961,8,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,GEO,Success,1247,0,0
SL000395,1961-09-06,1961,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Success,56,1,0
SL004816,1961-09-19,1961,9,Cold War Era,USA,NASA,Thor-Delta,Kennedy Space Center LC-39A,LEO,Failure,63,1,0
SL004418,1961-09-22,1961,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Failure,116,0,0
SL001911,1961-09-25,1961,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Failure,29,1,0
SL004305,1961-10-03,1961,10,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Success,95,1,0
SL004792,1961-10-15,1961,10,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,ISS,Success,373,1,0
SL000841,1961-10-21,1961,10,Cold War Era,USA,LTV,Scout,Mahia Peninsula LC-1,LEO,Success,66,0,0
SL000519,1961-10-24,1961,10,Cold War Era,USA,Army,Jupiter-C,Cape Canaveral SLC-41,LEO,Failure,3,1,0
SL002534,1961-11-06,1961,11,Cold War Era,USA,Army,Juno I,Kennedy Space Center LC-39A,GEO,Failure,5,0,0
SL006827,1961-11-20,1961,11,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,ISS,Success,1605,1,0
SL003801,1961-11-27,1961,11,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,ISS,Failure,840,1,0
SL006751,1961-12-03,1961,12,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Success,2360,1,0
SL002571,1961-12-25,1961,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Success,53,0,0
SL006489,1962-01-01,1962,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,111,1,0
SL006034,1962-01-02,1962,1,Cold War Era,USA,GD,Atlas-Centaur,SpaceX Starbase (Boca Chica),GEO,Success,824,0,0
SL004167,1962-01-07,1962,1,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,SSO,Failure,1565,0,0
SL007500,1962-01-15,1962,1,Cold War Era,USA,GD,Atlas-Centaur,Mahia Peninsula LC-1,LEO,Success,437,0,0
SL006426,1962-01-16,1962,1,Cold War Era,USA,Army,Jupiter-C,Mahia Peninsula LC-1,GTO,Failure,2,0,0
SL003793,1962-02-20,1962,2,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,117,0,0
SL004450,1962-02-25,1962,2,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Failure,620,0,0
SL001902,1962-02-28,1962,2,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-41,ISS,Failure,1,1,0
SL004338,1962-03-08,1962,3,Cold War Era,USA,NRL,Vanguard,Wallops Flight Facility,LEO,Failure,1,0,0
SL000227,1962-03-14,1962,3,Cold War Era,USA,NRL,Vanguard,Mahia Peninsula LC-1,GEO,Failure,2,0,0
SL006641,1962-03-21,1962,3,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,SSO,Failure,792,0,0
SL001721,1962-03-21,1962,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Success,179,0,0
SL001356,1962-03-21,1962,3,Cold War Era,USA,NASA,Thor-Delta,Wallops Flight Facility,GTO,Success,68,0,0
SL005499,1962-03-25,1962,3,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,SSO,Failure,1148,0,0
SL004501,1962-03-26,1962,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Failure,40,0,0
SL003805,1962-04-05,1962,4,Cold War Era,USA,NRL,Vanguard,Cape Canaveral SLC-41,LEO,Failure,3,0,0
SL001045,1962-04-22,1962,4,Cold War Era,USA,GD,Atlas-Centaur,Kennedy Space Center LC-39A,GTO,Success,1253,0,0
SL003699,1962-05-11,1962,5,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Failure,176,0,0
SL002887,1962-05-13,1962,5,Cold War Era,USA,GD,Atlas-Centaur,SpaceX Starbase (Boca Chica),GTO,Success,2245,0,0
SL003879,1962-05-26,1962,5,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,111,0,0
SL002038,1962-06-09,1962,6,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Failure,1113,0,0
SL002581,1962-06-12,1962,6,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,SSO,Success,555,0,0
SL007170,1962-06-13,1962,6,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Success,77,1,0
SL003308,1962-06-15,1962,6,Cold War Era,USA,NRL,Vanguard,Cape Canaveral SLC-41,LEO,Failure,2,1,0
SL004859,1962-06-23,1962,6,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Failure,110,1,0
SL005481,1962-07-01,1962,7,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-40,SSO,Success,53,0,0
SL002557,1962-07-03,1962,7,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,LEO,Success,1370,0,0
SL007488,1962-07-08,1962,7,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,59,0,0
SL005103,1962-07-08,1962,7,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,1188,1,0
SL004136,1962-07-09,1962,7,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,2318,1,0
SL000797,1962-07-25,1962,7,Cold War Era,USA,NASA,Thor-Delta,Kennedy Space Center LC-39A,ISS,Success,19,1,0
SL000136,1962-07-25,1962,7,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,ISS,Failure,633,1,0
SL007490,1962-08-08,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,GEO,Success,516,0,0
SL004559,1962-08-10,1962,8,Cold War Era,USA,GD,Atlas-Centaur,Kennedy Space Center LC-39A,ISS,Success,893,1,0
SL005187,1962-08-12,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,LEO,Success,741,1,0
SL000150,1962-08-14,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,HEO,Success,727,0,0
SL001069,1962-08-16,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,ISS,Failure,1168,1,0
SL005853,1962-08-18,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,ISS,Success,412,1,0
SL003459,1962-08-25,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,GTO,Success,604,0,0
SL000590,1962-08-26,1962,8,Cold War Era,Russia,OKB-1,Vostok-K,Plesetsk Cosmodrome,ISS,Success,1423,1,0
SL002031,1962-09-03,1962,9,Cold War Era,USA,Army,Juno I,Cape Canaveral SLC-40,GEO,Failure,3,0,0
SL000872,1962-09-12,1962,9,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-41,LEO,Success,26,0,0
SL004403,1962-09-21,1962,9,Cold War Era,USA,Army,Jupiter-C,Kennedy Space Center LC-39A,SSO,Failure,1,0,0
SL002350,1962-09-22,1962,9,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,HEO,Failure,853,0,0
SL005030,1962-09-24,1962,9,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,GEO,Failure,120,0,0
SL000270,1962-10-06,1962,10,Cold War Era,USA,LTV,Scout,Vandenberg SFB SLC-4E,SSO,Success,34,0,0
SL006411,1962-10-12,1962,10,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Failure,249,0,0
SL005572,1962-10-12,1962,10,Cold War Era,USA,NRL,Vanguard,Cape Canaveral SLC-40,GEO,Failure,3,0,0
SL001949,1962-10-13,1962,10,Cold War Era,USA,Army,Jupiter-C,SpaceX Starbase (Boca Chica),LEO,Failure,2,0,0
SL005206,1962-11-05,1962,11,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,ISS,Failure,775,1,0
SL000085,1962-11-07,1962,11,Cold War Era,USA,NASA,Thor-Delta,Wallops Flight Facility,LEO,Failure,41,0,0
SL001929,1962-11-08,1962,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Failure,249,1,0
SL002130,1962-11-09,1962,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,ISS,Success,58,1,0
SL004248,1962-11-10,1962,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,153,0,0
SL001894,1962-11-11,1962,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,LEO,Success,110,1,0
SL006274,1962-11-14,1962,11,Cold War Era,USA,Army,Juno I,Kennedy Space Center LC-39A,ISS,Failure,2,1,0
SL007273,1962-11-16,1962,11,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,GEO,Success,1085,0,0
SL000826,1962-11-18,1962,11,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,LEO,Failure,78,0,0
SL002873,1962-11-20,1962,11,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,SSO,Success,2040,0,0
SL007264,1962-12-04,1962,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,66,0,0
SL006648,1962-12-11,1962,12,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Success,161,0,0
SL004337,1962-12-17,1962,12,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,SSO,Success,1249,0,0
SL006528,1963-01-02,1963,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,GTO,Success,103,0,0
SL006270,1963-01-08,1963,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Success,127,0,0
SL000069,1963-01-17,1963,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,GTO,Success,92,0,0
SL004232,1963-01-20,1963,1,Cold War Era,Russia,OKB-1,Voskhod,Kapustin Yar,LEO,Success,948,1,0
SL003282,1963-01-21,1963,1,Cold War Era,USA,Army,Juno I,Wallops Flight Facility,SSO,Success,1,0,0
SL003192,1963-01-22,1963,1,Cold War Era,Russia,OKB-1,Vostok-K,Baikonur Cosmodrome,LEO,Success,573,0,0
SL003300,1963-01-24,1963,1,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,SSO,Failure,89,0,0
SL005902,1963-03-08,1963,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Plesetsk Cosmodrome,SSO,Failure,184,0,0
SL000768,1963-03-09,1963,3,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-40,LEO,Failure,42,0,0
SL004075,1963-03-12,1963,3,Cold War Era,USA,GD,Atlas-Centaur,Wallops Flight Facility,SSO,Success,460,0,0
SL000415,1963-03-12,1963,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Kapustin Yar,GEO,Success,165,0,0
SL002501,1963-03-20,1963,3,Cold War Era,USA,NASA,Thor-Delta,Wallops Flight Facility,LEO,Success,69,1,0
SL002321,1963-03-27,1963,3,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,SSO,Success,112,0,0
SL003351,1963-03-27,1963,3,Cold War Era,Russia,OKB-1,Vostok-K,Kapustin Yar,GTO,Success,713,0,0
SL006211,1963-04-10,1963,4,Cold War Era,USA,NRL,Vanguard,Vandenberg SFB SLC-4E,LEO,Failure,3,0,0
SL006209,1963-04-16,1963,4,Cold War Era,Russia,OKB-1,Sputnik (R-7),Baikonur Cosmodrome,LEO,Success,60,0,0
SL004147,1963-05-01,1963,5,Cold War Era,USA,LTV,Scout,Mahia Peninsula LC-1,ISS,Failure,75,1,0
SL002605,1963-05-04,1963,5,Cold War Era,USA,GD,Atlas-Centaur,Cape Canaveral SLC-41,ISS,Success,374,1,0
SL002750,1963-05-04,1963,5,Cold War Era,USA,LTV,Scout,Cape Canaveral SLC-40,GEO,Failure,29,0,0
